rev_id	comment	year	logged_in	ns	sample	split
431375349.0	NEWLINE_TOKENNEWLINE_TOKEN== Mt. Hope Tornado ==NEWLINE_TOKENNEWLINE_TOKENAlthough this tornado was officially an F4, I'd like to suggest that the Mt. Hope, Alabama tornado of April 3, 1974 be added to the list of possible F5 tornadoes. The SPC's List of F5 and EF5 tornadoes lists it as an F5 and even the List of Super Outbreak tornadoes mentions that some sources list it as an F5. Is there any reason why it isn't in the list of possible F5 tornadoes now?   	2011	True	article	random	dev
419136821.0	`NEWLINE_TOKEN:We discussed this on the WP:VG talkpage, and I said it would probably end up being undue weight. If you want to gather the sources to prove me wrong, then that would be great. '''''' · `	2011	True	article	random	dev
62861512.0	 i was uanware of any threat	2006	True	user	blocked	train
144961380.0	NEWLINE_TOKENNEWLINE_TOKEN== Whoot ==NEWLINE_TOKENNEWLINE_TOKENI love my new weapon of knowledge. Don't you just regret leaving that undo button for me to use against you?NEWLINE_TOKENNEWLINE_TOKENNow that Wikipedia's weapon of choice has been acquired by me, how does it feel to have a taste of your own medicine when it comes to reverting?NEWLINE_TOKENNEWLINE_TOKENI can keep this up all week if I wanted to.	2007	False	user	random	train
142028034.0	NEWLINE_TOKENNEWLINE_TOKEN== Gore response ==NEWLINE_TOKENNEWLINE_TOKENCan anybody find Gore's response to Bush's malaprop? Why didn't Gore, as the inventor of the darn thing, club him silly after that one?  	2007	True	article	blocked	dev
624459854.0	  NEWLINE_TOKENNEWLINE_TOKENThe answer to why the issue had not come up before is simply that the previous reviewers either did not check or did not notice. I actually did not delete the draft, I'm not an administrator and cannot do so. What I did do is notice the copyright violation and flag the text for an administrator to review. Your draft was largely copied from his official company biography at http://abfsg.com/Pages/our-people.htmlNEWLINE_TOKENYou cannot reuse text from elsewhere on Wikipedia, it is a copyright violation and would be illegal for us to host it. Articles must be based on, and referenced to, what has been written about the subject in reliable independent sources, not copied from elsewhere with sources thrown in to show notability. If you wish, you can ask the administrator who deleted it for a copy of the draft, in order to retrieve the sources, and you are perfectly welcome to submit a new draft that consists of material you wrote. 	2014	True	user	random	test
267766539.0	NEWLINE_TOKENNEWLINE_TOKENUh oh, Mr. Big shot registered User is crying like a little girl because I called him out on his BS.	2009	False	user	blocked	test
651520583.0	NEWLINE_TOKEN:i don't care, and i will ignore this warning, Fucking Bitch...   	2015	True	user	blocked	test
94170646.0	, im going to knock you over the head with a baseball bat	2006	False	user	blocked	test
53484010.0	 To say that busking is the same as street performing yet that street theatre is different is being mistaken at best and elitist at worst. Street performing as defined here is a type of theatre and as such is also defined as street theatre, but not busking. This is made clear in the entry.	2006	False	article	blocked	train
144040567.0	NEWLINE_TOKENNEWLINE_TOKENno reason to shunra..this is just anti-circ activist stuff. One time there was a activist group in america which claimed breast implants caused cancer. Turned out to be false. Plus there are many men who say they got more pleasure after being circumcised. The internet is a bad place for inforamtion cuz it always shows the bad. circlist.com go to this website it will let you know why you should be happy being circumcised. As for religious views Judaism-prohibits restoration    Islam-prohibits restoration     Christianity-its fine	2007	True	article	blocked	dev
